"","Latitude","Longitude","riskFactor"
"1",29.891525,-104.27439,0.382157140201564
"2",29.891525,-104.27439,0.408712314356587
"5",31.04417,-104.76394,0.652650173030767
"20",26.16938,-98.25135,0.283971373533983
"22",30.401245,-97.72912,0.600724943677236
"25",32.83667,-96.81582,0.00238550085783772
"26",27.941877,-97.590034,0.435811145976358
"31",33.0414,-96.82885,0.408712314356587
"35",30.310495,-97.71007,0.261930687427986
"37",32.71336,-97.397484,0.331230601819954
"42",32.984146,-96.665405,0.356287690447798
"45",28.138704,-97.00716,0.435811145976358
"48",26.084333,-97.882034,0.627053697989525
"49",30.471992,-95.49617,0.408712314356587
"56",31.057186,-104.56528,0.546431933332299
"58",29.357742,-95.35506,0.546431933332299
"60",26.200249,-98.32227,0.546431933332299
"64",29.406242,-95.03653,0.382157140201564
"68",32.481247,-98.59524,0.408712314356587
"71",30.295813,-99.41393,0.677393702038177
"72",30.071833,-93.93913,0.283971373533983
"78",30.136063,-97.46005,0.627053697989525
"85",35.23628,-102.4203,0.546431933332299
"86",29.541067,-95.3938,0.283971373533983
"92",30.354387,-95.48414,0.331230601819954
"95",26.177223,-97.79544,0.627053697989525
"96",26.33625,-98.32181,0.652650173030767
"97",33.213512,-101.41889,0.701181638809626
"101",31.057085,-104.56577,0.652650173030767
"104",32.47102,-95.464,0.546431933332299
"106",30.158117,-95.44919,0.491011512786154
"113",30.403137,-95.487206,0.408712314356587
"120",35.96538,-102.44282,0.546431933332299
"122",32.32328,-96.681404,0.51877948403006
"132",35.071198,-101.93633,0.701181638809626
"142",32.986927,-96.71151,0.627053697989525
"145",32.376377,-99.10308,0.652650173030767
"146",31.898338,-104.797745,0.104605437990793
"147",31.902164,-104.788956,0.331230601819954
"156",31.858797,-103.65187,0.283971373533983
"158",32.87148,-95.542564,0.307095033663071
"160",32.063526,-94.74573,0.185366666905418
"165",33.559265,-100.14041,0.546431933332299
"166",33.239094,-97.33649,0.652650173030767
"168",29.726423,-95.74568,0.652650173030767
"169",26.404734,-99.01496,0.435811145976358
"172",32.558025,-102.0202,0.723930386003468
"180",32.40653,-99.44689,0.51877948403006
